Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Separable,Moons,50-50,0.5,PA,Kernel,0.913913913913914,0.914
Non-Separable,Moons,50-50,0.5,Perceptron,Online,0.8482102401449932,0.8325
Non-Separable,Moons,50-50,0.5,Perceptron,Kernel,0.913913913913914,0.914
Non-Separable,Moons,50-50,0.5,AROW,Online,0.8968735417638825,0.8895
Non-Separable,Moons,50-50,0.5,AROW,Kernel,0.9473135106937924,0.9495
Non-Separable,Moons,50-50,0.5,OGC,Online,0.7650273224043715,0.7635
Non-Separable,Moons,50-50,0.5,OGC,Kernel,0.9184592296148074,0.9185
Non-Separable,Moons,50-50,0.5,SCW,Online,0.8849315068493151,0.874
Non-Separable,Moons,50-50,0.5,SCW,Kernel,0.8216597998822837,0.8485
Non-Separable,Moons,50-50,0.5,RDA,Online,0.8714083843617523,0.8635
Non-Separable,Moons,50-50,0.5,RDA,Kernel,0.38839645447219984,0.241
Non-Separable,Moons,50-50,0.5,AdaRDA,Online,0.6987022097509645,0.5705
Non-Separable,Moons,50-50,0.5,AdaRDA,Kernel,0.38774687625957277,0.2405
Non-Separable,Moons,70-30,0.7,PA,Online,0.6552901023890785,0.5455
Non-Separable,Moons,70-30,0.7,PA,Kernel,0.9392857142857143,0.915
Non-Separable,Moons,70-30,0.7,Perceptron,Online,0.9153005464480874,0.876
Non-Separable,Moons,70-30,0.7,Perceptron,Kernel,0.9392857142857143,0.915
Non-Separable,Moons,70-30,0.7,AROW,Online,0.9467414155571128,0.924
Non-Separable,Moons,70-30,0.7,AROW,Kernel,0.9393501805054152,0.916
Non-Separable,Moons,70-30,0.7,OGC,Online,0.8969219756621332,0.856
Non-Separable,Moons,70-30,0.7,OGC,Kernel,0.9428571428571428,0.92
Non-Separable,Moons,70-30,0.7,SCW,Online,0.9461538461538461,0.923
Non-Separable,Moons,70-30,0.7,SCW,Kernel,0.9184519695922598,0.882
Non-Separable,Moons,70-30,0.7,RDA,Online,0.9198751300728408,0.8845
Non-Separable,Moons,70-30,0.7,RDA,Kernel,0.7068790240596408,0.5675
Non-Separable,Moons,70-30,0.7,AdaRDA,Online,0.8428053204353083,0.74
Non-Separable,Moons,70-30,0.7,AdaRDA,Kernel,0.6530180021178962,0.5085
Non-Separable,Moons,90-10,0.9,PA,Online,0.8491864831038799,0.759
Non-Separable,Moons,90-10,0.9,PA,Kernel,0.97304806890803,0.9515
Non-Separable,Moons,90-10,0.9,Perceptron,Online,0.9491430177016016,0.9095
Non-Separable,Moons,90-10,0.9,Perceptron,Kernel,0.97304806890803,0.9515
Non-Separable,Moons,90-10,0.9,AROW,Online,0.9652509652509652,0.937
Non-Separable,Moons,90-10,0.9,AROW,Kernel,0.9756764143208527,0.9555
Non-Separable,Moons,90-10,0.9,OGC,Online,0.9535534415221041,0.917
Non-Separable,Moons,90-10,0.9,OGC,Kernel,0.9752709085857183,0.9555
Non-Separable,Moons,90-10,0.9,SCW,Online,0.9679734953064605,0.942
Non-Separable,Moons,90-10,0.9,SCW,Kernel,0.9641991924629879,0.9335
Non-Separable,Moons,90-10,0.9,RDA,Online,0.9530201342281879,0.916
Non-Separable,Moons,90-10,0.9,RDA,Kernel,0.96,0.9255
Non-Separable,Moons,90-10,0.9,AdaRDA,Online,0.9606169099421646,0.9285
Non-Separable,Moons,90-10,0.9,AdaRDA,Kernel,0.9594630872483222,0.9245
Non-Separable,SineWave,50-50,0.5,PA,Online,0.8373943311785181,0.8365
Non-Separable,SineWave,50-50,0.5,PA,Kernel,0.9233850776164246,0.9235
